loss,accuracy,auc,val_loss,val_accuracy,val_auc
0.6778615117073059,0.8133928775787354,0.9635217785835266,0.658171534538269,0.8155656456947327,0.998691737651825
0.6450598835945129,0.8059642910957336,0.9955218434333801,0.6254711151123047,0.8077362775802612,0.9987483620643616
0.615454375743866,0.8049404621124268,0.9958226680755615,0.5954031944274902,0.8083710670471191,0.9985637068748474
0.5878409743309021,0.8062023520469666,0.9957769513130188,0.5671806931495667,0.8115874528884888,0.9985003471374512
0.5620162487030029,0.8090952634811401,0.9954711198806763,0.5409209132194519,0.8177663087844849,0.9982053637504578
0.5379328727722168,0.8143095374107361,0.9948874711990356,0.5165212750434875,0.827838659286499,0.9978684186935425
0.5154869556427002,0.822773814201355,0.9944249987602234,0.49383747577667236,0.8463329076766968,0.9975341558456421
0.4943442940711975,0.8382381200790405,0.9939624667167664,0.4724635183811188,0.8790469169616699,0.9969585537910461
0.47418126463890076,0.8621190190315247,0.993172824382782,0.4521371126174927,0.9144694805145264,0.9967812895774841
0.4548734128475189,0.8973333239555359,0.9925758838653564,0.43274709582328796,0.9550975561141968,0.9966278076171875
0.4361233115196228,0.9577618837356567,0.9917364120483398,0.41393959522247314,0.9972914457321167,0.9963319301605225
0.417755663394928,0.994607150554657,0.9908837676048279,0.39560067653656006,0.9975876808166504,0.9959189295768738
0.39972957968711853,0.9938571453094482,0.9900211095809937,0.37766769528388977,0.9970798492431641,0.9956987500190735
0.3820051848888397,0.9929642677307129,0.9891766905784607,0.36006078124046326,0.9966566562652588,0.9952600598335266
0.3646445572376251,0.9921428561210632,0.9880667924880981,0.3429180681705475,0.9960641860961914,0.9947202801704407
0.3478526473045349,0.991273820400238,0.9871589541435242,0.3263688087463379,0.9955986142158508,0.9940376877784729
0.33176034688949585,0.9904524087905884,0.9863433837890625,0.3105430006980896,0.9953446984291077,0.9936473369598389
0.3165382444858551,0.9900000095367432,0.9855000376701355,0.2955620288848877,0.9950907826423645,0.9933425188064575
0.3023216128349304,0.9894405007362366,0.984785795211792,0.28152698278427124,0.9947099089622498,0.9928350448608398
0.28914135694503784,0.9889761805534363,0.984250545501709,0.2684316635131836,0.9945406317710876,0.9926517009735107
0.2770124077796936,0.9885833263397217,0.9839605689048767,0.2563113272190094,0.9942443370819092,0.9925116896629333
0.26588204503059387,0.9884166717529297,0.9837967157363892,0.24509549140930176,0.9941173791885376,0.9924976825714111
0.25564029812812805,0.9882261753082275,0.9837117791175842,0.23470309376716614,0.9940750598907471,0.9924027919769287
0.24616806209087372,0.9881904721260071,0.9837180376052856,0.2250126451253891,0.9940750598907471,0.9925093650817871
0.23730789124965668,0.9882500171661377,0.9837983846664429,0.21591508388519287,0.9941173791885376,0.9925639033317566
